CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
IMP_FROM_NEU	Imports from outside EU	Importations extra-UE	Einfuhren aus Ländern außerhalb der EU	Y			
EXP	Exports	Exportations	Ausfuhren	Y			
EXP_TO_EU	Exports to EU	Exportations vers UE	Ausfuhren in die EU	Y			
STKOP_NAT	Opening stocks on national territory	Stocks initiaux sur le territoire national	Anfangsbestände auf dem Hoheitsgebiet des Staates	Y			
STKCL_NAT	Closing stocks on national territory	Stocks finals sur le territoire national	Endbestände auf dem Hoheitsgebiet des Staates	Y			
STK_CHG	Change in stock	Variation de stock	Bestandsveränderungen	Y			
STK_CHG_NAT	Change in stock - national territory	Variation de stock - territoire national	Bestandsveränderungen - Hoheitsgebiet des Staates	Y			
STK_CHG_CG	Change in stock - cushion gas	Variation de stock - gaz coussin	Bestandsveränderungen - Gaspolster	Y			
STK_DRW	Stock draw	Prélèvement sur les stocks	Bestandsabbau	Y			
STK_BLD	Stock build	Constitution de stocks	Bestandsaufbau	Y			
STK_CHG_MG	Stock changes - as defined in MOS GAS	Variations des stocks - selon définition de MOS GAS	Bestandsveränderungen - wie berechnet im MOS GAS	Y			
STK_CHG_MAIN	Stock changes at main activity utilities	Variations des stocks dans les services d'activité principale	Bestandsveränderungen bei hauptsächlich als Energieerzeuger tätigen Unternehmen	Y			
NRGSUP_CAL	Overall energy supply - calculated	Approvisionnement énergétique global - calculé	Gesamtenergieversorgung - berechnet	Y			
GAE	Gross available energy	Énergie disponible brute	Brutto verfügbare Energie	Y			
INTMARB	International maritime bunkers	Soutages maritimes internationaux	Hochseebunker	Y			
IC	Inland consumption	Consommation intérieure	Inlandsverbrauch	Y			
IC_CAL	Inland consumption - calculated	Consommation intérieure - calculée	Inlandsverbrauch - berechnet	Y			
IC_OBS	Inland consumption - observed	Consommation intérieure - observée	Inlandsverbrauch - erfasst	Y			
IC_CAL_MG	Inland consumption - calculated as defined in MOS GAS	Consommation intérieure - calculée selon définition de MOS GAS	Inlandsverbrauch - berechnet wie im MOS GAS	Y			
ID	Inland demand	Demande intérieure	Inlandsnachfrage	Y			
GID	Gross inland deliveries	Livraisons intérieures brutes	Bruttoinlandslieferungen	Y			
GID_CAL	Gross inland deliveries - calculated	Livraisons intérieures brutes - calculées	Bruttoinlandslieferungen - berechnet	Y			
GID_OBS	Gross inland deliveries - observed	Livraisons intérieures brutes - observées	Bruttoinlandslieferungen - erfasst	Y			
GID_E	Gross inland deliveries - energy use	Livraisons intérieures brutes - usage énergétique	Bruttoinlandslieferungen - energetischer Verbrauch	Y			
GID_NE	Gross inland deliveries - non-energy use	Livraisons intérieures brutes - usage non-énergétique	Bruttoinlandslieferungen - nichtenergetischer Verbrauch	Y			
GIC	Gross inland consumption	Consommation intérieure brute	Bruttoinlandsverbrauch	Y			
INTAVI	International aviation	Aviation internationale	Grenzüberschreitender Luftverkehr	Y			
INTAVI_E	International aviation - energy use	Aviation internationale - usage énergétique	Grenzüberschreitender Luftverkehr - energetischer Verbrauch	Y			
INTAVI_NE	International aviation - non-energy use	Aviation internationale - usage non-énergétique	Grenzüberschreitender Luftverkehr - nichtenergetischer Verbrauch	Y			
NRGSUP	Total energy supply	Approvisionnement énergétique total	Energieaufkommen insgesamt	Y			
GIC_EED	Gross inland consumption - Energy Efficiency Directive	Consommation intérieure brute - Directive sur l'efficacité énergétique	Bruttoinlandsverbrauch - Energieeffizienzrichtlinie	Y			
PEC_EED	Primary energy consumption - Energy Efficiency Directive	Consommation d'énergie primaire - Directive sur l'efficacité énergétique	Primärenergieverbrauch - Energieeffizienzrichtlinie	Y			
FEC_EED	Final energy consumption - Energy Efficiency Directive	Consommation finale d'énergie - Directive sur l'efficacité énergétique	Endenergieverbrauch - Energieeffizienzrichtlinie	Y			
GIC2020-2030	Gross inland consumption (Europe 2020-2030)	Consommation intérieure brute (Europe 2020-2030)	Bruttoinlandsverbrauch (Europa 2020-2030)	Y			
PEC2020-2030	Primary energy consumption (Europe 2020-2030)	Consommation d'énergie primaire (Europe 2020-2030)	Primärenergieverbrauch (Europa 2020-2030)	Y			
FEC2020-2030	Final energy consumption (Europe 2020-2030)	Consommation finale d'énergie (Europe 2020-2030)	Endenergieverbrauch (Europa 2020-2030)	Y			
PEC_DT2020	Primary energy consumption - distance to 2020 target	Consommation d'énergie primaire - écart 2020 par rapport aux objectifs	Primärenergieverbrauch - Abstand 2020 vom Ziel	Y			
PEC_DT2030	Primary energy consumption - distance to 2030 target	Consommation d'énergie primaire - écart 2030 par rapport aux objectifs	Primärenergieverbrauch - Abstand 2030 vom Ziel	Y			
FEC_DT2020	Final energy consumption - distance to 2020 target	Consommation finale d'énergie - écart 2020 par rapport aux objectifs	Endenergieverbrauch - Abstand 2020 vom Ziel	Y			
FEC_DT2030	Final energy consumption - distance to 2030 target	Consommation finale d'énergie - écart 2030 par rapport aux objectifs	Endenergieverbrauch - Abstand 2030 vom Ziel	Y			
FC_TRA_E_RED	Final consumption - transport sector - energy use - Renewable Energy Directive	Consommation finale - secteur des transports - usage énergétique - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - energetischer Verbrauch - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_ROAD_E_RED	Final consumption - transport sector - road - energy use - Renewable Energy Directive	Consommation finale - secteur des transports - transport routier - usage énergétique - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - Straßenverkehr - energetischer Verbrauch - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_ROAD_E_DTL_RED	Final consumption - transport sector - road - energy use - direct transmission line - Renewable Energy Directive	Consommation finale - secteur des transports - transport routier - usage énergétique - ligne de transmission directe - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - Straßenverkehr - energetischer Verbrauch - direkte Übertragungsleitungen - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_ROAD_E_G_RED	Final consumption - transport sector- road - energy use - grid - Renewable Energy Directive	Consommation finale - secteur des transports - transport routier - usage énergétique - réseau - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - Straßenverkehr - energetischer Verbrauch - Netz - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_RAIL_E_RED	Final consumption - transport sector - rail - energy use - Renewable Energy Directive	Consommation finale - secteur des transports - transport ferroviaire - usage énergétique - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - Schienenverkehr - energetischer Verbrauch - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_MAR_E_RED	Final consumption - transport sector - maritime - energy use - Renewable Energy Directive	Consommation finale - secteur des transports - transport maritime - usage énergétique - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - Seeverkehr - energetischer Verbrauch - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_AVI_E_RED	Final consumption - transport sector - aviation - energy use - Renewable Energy Directive	Consommation finale - secteur des transports - transport aérien - usage énergétique - Directive sur les énergies renouvelables	Endenergieverbrauch - Verkehrssektor - Luftverkehr - energetischer Verbrauch - Erneuerbare-Energien-Richtlinie	Y			
FC_TRA_OTH_E_RED	Final consumption - other transport sector- energy use - Renewable Energy Directive	Consommation finale - autre(s) secteur(s) des transports - usage énergétique - Directive sur les énergies renouvelables	Endenergieverbrauch - Andere Verkehrssektoren - energetischer Verbrauch - Erneuerbare-Energien-Richtlinie	Y			
GTI	Gross transformation input	Entrées brutes en transformation	Bruttoumwandlungseinsatz	Y			
NTI	Net transformation input	Entrées nettes en transformation	Nettoumwandlungseinsatz	Y			
TI	Transformation input	Entrées en transformation	Umwandlungseinsatz	Y			
TI_E	Transformation input - energy use	Entrées en transformation - usage énergétique	Umwandlungseinsatz - energetischer Verbrauch	Y			
TI_EHG	Transformation input - electricity and heat generation	Entrées en transformation - production d'électricité et de chaleur	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme	Y			
TI_EHG_E	Transformation input - electricity and heat generation - energy use	Entrées en transformation - production d'électricité et de chaleur - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - energetischer Verbrauch	Y			
TI_EHG_NE	Transformation input - electricity and heat generation - non-energy use	Entrées en transformation - production d'électricité et de chaleur - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - nichtenergetischer Verbrauch	Y			
TI_EHG_EONL_E	Transformation input - electricity and heat generation - electricity only - energy use	Entrées en transformation - production d'électricité et de chaleur - production d'électricité uniquement - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrizitätserzeuger - energetischer Verbrauch	Y			
TI_EHG_CHP_E	Transformation input - electricity and heat generation - combined heat and power - energy use	Entrées en transformation - production d'électricité et de chaleur - cogénération de chaleur et d'électricité - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme -  Elektrizitäts- und Wärmeerzeuger (Kraft-Wärme-Kopplung) - energetischer Verbrauch	Y			
TI_EHG_HONL_E	Transformation input - electricity and heat generation - heat only - energy use	Entrées en transformation - production d'électricité et de chaleur - production de chaleur uniquement - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Wärmeerzeuger - energetischer Verbrauch	Y			
TI_EHG_MAPE	Transformation input - electricity and heat generation - main activity producer electricity only	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production d'électricité uniquement	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Elektrizitätserzeuger tätiges Unternehmen	Y			
TI_EHG_MAPE_E	Transformation input - electricity and heat generation - main activity producer electricity only - energy use	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production d'électricité uniquement - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Elektrizitätserzeuger tätiges Unternehmen - energetischer Verbrauch	Y			
TI_EHG_MAPE_NE	Transformation input - electricity and heat generation - main activity producer electricity only - non-energy use	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production d'électricité uniquement - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Elektrizitätserzeuger tätiges Unternehmen - nichtenergetischer Verbrauch	Y			
TI_EHG_MAPCHP	Transformation input - electricity and heat generation - main activity producer combined heat and power	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la cogénération de chaleur et d'électricité	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Elektrizitäts- und Wärmeerzeuger tätiges Unternehmen (Kraft-Wärme-Kopplung)	Y			
TI_EHG_MAPCHP_E	Transformation input - electricity and heat generation - main activity producer combined heat and power - energy use	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la cogénération de chaleur et d'électricité - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Elektrizitäts- und Wärmeerzeuger tätiges Unternehmen (Kraft-Wärme-Kopplung) - energetischer Verbrauch	Y			
TI_EHG_MAPCHP_NE	Transformation input - electricity and heat generation - main activity producer combined heat and power - non-energy use	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la cogénération de chaleur et d'électricité - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Elektrizitäts- und Wärmeerzeuger tätiges Unternehmen (Kraft-Wärme-Kopplung) - nichtenergetischer Verbrauch	Y			
TI_EHG_MAP	Transformation input - electricity and heat generation - main activity producers	Entrées en transformation - production d'électricité et de chaleur - producteurs dont c'est l'activité principale	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Energieerzeuger tätiges Unternehmen	Y			
TI_EHG_MAPH	Transformation input - electricity and heat generation - main activity producer heat only	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production de chaleur uniquement	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Wärmeerzeuger tätiges Unternehmen	Y			
TI_EHG_MAPH_E	Transformation input - electricity and heat generation - main activity producer heat only - energy use	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production de chaleur uniquement - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Wärmeerzeuger tätiges Unternehmen  - energetischer Verbrauch	Y			
TI_EHG_MAPH_NE	Transformation input - electricity and heat generation - main activity producer heat only - non-energy use	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production de chaleur uniquement - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - hauptsächlich als Wärmeerzeuger tätiges Unternehmen  - nichtenergetischer Verbrauch	Y			
TI_EHG_APE	Transformation input - electricity and heat generation - autoproducer electricity only	Entrées en transformation - production d'électricité et de chaleur - autoproducteur d'électricité uniquement	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger nur Elektrizität	Y			
TI_EHG_APE_E	Transformation input - electricity and heat generation - autoproducer electricity only - energy use	Entrées en transformation - production d'électricité et de chaleur - autoproducteur d'électricité uniquement - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger nur Elektrizität - energetischer Verbrauch	Y			
TI_EHG_APE_NE	Transformation input - electricity and heat generation - autoproducer electricity only - non-energy use	Entrées en transformation - production d'électricité et de chaleur - autoproducteur d'électricité uniquement - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger nur Elektrizität - nichtenergetischer Verbrauch	Y			
TI_EHG_APCHP	Transformation input - electricity and heat generation - autoproducer combined heat and power	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur et d'électricité combinées	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger Elektrizität und Wärme (Kraft-Wärme-Kopplung)	Y			
TI_EHG_APCHP_E	Transformation input - electricity and heat generation - autoproducer combined heat and power - energy use	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur et d'électricité combinées - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger Elektrizität und Wärme (Kraft-Wärme-Kopplung) - energetischer Verbrauch	Y			
TI_EHG_APCHP_NE	Transformation input - electricity and heat generation - autoproducer combined heat and power - non-energy use	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur et d'électricité combinées - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger Elektrizität und Wärme (Kraft-Wärme-Kopplung) - nichtenergetischer Verbrauch	Y			
TI_EHG_APH	Transformation input - electricity and heat generation - autoproducer heat only	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur uniquement	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger nur Wärme	Y			
TI_EHG_APH_E	Transformation input - electricity and heat generation - autoproducer heat only - energy use	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur uniquement - usage énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger nur Wärme - energetischer Verbrauch	Y			
TI_EHG_APH_NE	Transformation input - electricity and heat generation - autoproducer heat only - non-energy use	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur uniquement - usage non-énergétique	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Eigenerzeuger nur Wärme - nichtenergetischer Verbrauch	Y			
TI_EHG_EDHP	Transformation input - electricity and heat generation - electrically driven heat pumps	Entrées en transformation - production d'électricité et de chaleur - pompes à chaleur électriques	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrisch angetriebene Wärmepumpen	Y			
TI_EHG_EB	Transformation input - electricity and heat generation - electric boilers	Entrées en transformation - production d'électricité et de chaleur - chaudières électriques	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrokessel	Y			
TI_EHG_EPS	Transformation input - electricity and heat generation - electricity for pumped storage	Entrées en transformation - production d'électricité et de chaleur - électricité pour le stockage par pompage	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrizität für Pumpspeicherkraftwerke	Y			
TI_EHG_EPS_PURE	Transformation input - electricity and heat generation - electricity for pumped storage - pure hydro plants	Entrées en transformation - production d'électricité et de chaleur - électricité pour le stockage par pompage - centrales hydrauliques pures	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrizität für Pumpspeicherkraftwerke - reine Wasserkraftwerke	Y			
TI_EHG_EPS_MIX	Transformation input - electricity and heat generation - electricity for pumped storage - mixed plants	Entrées en transformation - production d'électricité et de chaleur - électricité pour le stockage par pompage - centrales mixtes	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrizität für Pumpspeicherkraftwerke - gemischte Werke	Y			
TI_EHG_DHEP	Transformation input - electricity and heat generation - derived heat for electricity production	Entrées en transformation - production d'électricité et de chaleur - chaleur dérivée pour la production d'électricité	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Elektrizität für Pumpspeicherkraftwerke - abgeleitete Wärme zur Elektrizitätserzeugung	Y			
TI_EHG_CB	Transformation input - electricity and heat generation - charging batteries	Entrées en transformation - production d'électricité et de chaleur - recharge de batteries	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - Batterieaufladung	Y			
TI_EHG_OTH	Transformation input - electricity and heat generation - other	Entrées en transformation - production d'électricité et de chaleur - autres	Umwandlungseinsatz - Erzeugung von Elektrizität und Wärme - sonstige	Y			
TI_CO	Transformation input - coke ovens	Entrées en transformation - fours à coke	Umwandlungseinsatz - Kokereien	Y			
TI_CO_E	Transformation input - coke ovens - energy use	Entrées en transformation - fours à coke - usage énergétique	Umwandlungseinsatz - Kokereien - energetischer Verbrauch	Y			
TI_CO_NE	Transformation input - coke ovens - non-energy use	Entrées en transformation - fours à coke - usage non-énergétique	Umwandlungseinsatz - Kokereien - nichtenergetischer Verbrauch	Y			
TI_BF	Transformation input - blast furnaces	Entrées en transformation - hauts-fourneaux	Umwandlungseinsatz - Hochöfen	Y			
TI_BF_E	Transformation input - blast furnaces - energy use	Entrées en transformation - hauts-fourneaux - usage énergétique	Umwandlungseinsatz - Hochöfen - energetischer Verbrauch	Y			
TI_BF_NE	Transformation input - blast furnaces - non-energy use	Entrées en transformation - hauts-fourneaux - usage non-énergétique	Umwandlungseinsatz - Hochöfen - nichtenergetischer Verbrauch	Y			
TI_GW	Transformation input - gas works	Entrées en transformation - usines à gaz	Umwandlungseinsatz - Gaswerke	Y			
TI_GW_E	Transformation input - gas works - energy use	Entrées en transformation - usines à gaz - usage énergétique	Umwandlungseinsatz - Gaswerke - energetischer Verbrauch	Y			
TI_GW_NE	Transformation input - gas works - non-energy use	Entrées en transformation - usines à gaz - usage non-énergétique	Umwandlungseinsatz - Gaswerke - nichtenergetischer Verbrauch	Y			
TI_RPI	Transformation input - refineries and petrochemical industry	Entrées en transformation - raffineries et industrie pétrochimique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie	Y			
TI_RPI_E	Transformation input - refineries and petrochemical industry - energy use	Entrées en transformation - raffineries et industrie pétrochimique - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - energetischer Verbrauch	Y			
TI_RPI_NE	Transformation input - refineries and petrochemical industry - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - nichtenergetischer Verbrauch	Y			
TI_RPI_RI	Transformation input - refineries and petrochemical industry - refinery intake	Entrées en transformation - raffineries et industrie pétrochimique - entrées en raffinerie	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Raffinerieeingang	Y			
TI_RPI_RI_E	Transformation input - refineries and petrochemical industry - refinery intake - energy use	Entrées en transformation - raffineries et industrie pétrochimique - entrées en raffinerie - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Raffinerieeingang - energetischer Verbrauch	Y			
TI_RPI_RI_NE	Transformation input - refineries and petrochemical industry - refinery intake - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - entrées en raffinerie - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Raffinerieeingang - nichtenergetischer Verbrauch	Y			
TI_RPI_RI_CAL	Transformation input - refineries and petrochemical industry - refinery intake - calculated	Entrées en transformation - raffineries et industrie pétrochimique - entrées en raffinerie - calculées	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Raffinerieeingang - berechnet	Y			
TI_RPI_RI_OBS	Transformation input - refineries and petrochemical industry - refinery intake - observed	Entrées en transformation - raffineries et industrie pétrochimique - entrées en raffinerie - observées	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Raffinerieeingang - erfasst	Y			
TI_RPI_BPI	Transformation input - refineries and petrochemical industry - backflows from petrochemical industry	Entrées en transformation - raffineries et industrie pétrochimique - retours de l'industrie pétrochimique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Rückläufe aus der petrochemischen Industrie	Y			
TI_RPI_BPI_E	Transformation input - refineries and petrochemical industry - backflows from petrochemical industry - energy use	Entrées en transformation - raffineries et industrie pétrochimique - retours de l'industrie pétrochimique - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Rückläufe aus der petrochemischen Industrie - energetischer Verbrauch	Y			
TI_RPI_BPI_NE	Transformation input - refineries and petrochemical industry - backflows from petrochemical industry - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - retours de l'industrie pétrochimique - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Rückläufe aus der petrochemischen Industrie - nichtenergetischer Verbrauch	Y			
TI_RPI_PT	Transformation input - refineries and petrochemical industry - products transferred	Entrées en transformation - raffineries et industrie pétrochimique - produits transférés	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Übertragung von Erzeugnissen	Y			
TI_RPI_PT_E	Transformation input - refineries and petrochemical industry - products transferred - energy use	Entrées en transformation - raffineries et industrie pétrochimique - produits transférés - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Übertragung von Erzeugnissen - energetischer Verbrauch	Y			
TI_RPI_PT_NE	Transformation input - refineries and petrochemical industry - products transferred - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - produits transférés - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Übertragung von Erzeugnissen - nichtenergetischer Verbrauch	Y			
TI_RPI_IT	Transformation input - refineries and petrochemical industry - interproduct transfers	Entrées en transformation - raffineries et industrie pétrochimique - transferts entre produits	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Austausch von Erzeugnissen	Y			
TI_RPI_IT_E	Transformation input - refineries and petrochemical industry - interproduct transfers - energy use	Entrées en transformation - raffineries et industrie pétrochimique - transferts entre produits - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Austausch von Erzeugnissen - energetischer Verbrauch	Y			
TI_RPI_IT_NE	Transformation input - refineries and petrochemical industry - interproduct transfers - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - transferts entre produits - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Austausch von Erzeugnissen - nichtenergetischer Verbrauch	Y			
TI_RPI_DU	Transformation input - refineries and petrochemical industry - direct use	Entrées en transformation - raffineries et industrie pétrochimique - usage direct	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Direktverbrauch	Y			
TI_RPI_DU_E	Transformation input - refineries and petrochemical industry - direct use - energy use	Entrées en transformation - raffineries et industrie pétrochimique - usage direct - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Direktverbrauch - energetischer Verbrauch	Y			
TI_RPI_DU_NE	Transformation input - refineries and petrochemical industry - direct use - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - usage direct - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Direktverbrauch - nichtenergetischer Verbrauch	Y			
TI_RPI_PII	Transformation input - refineries and petrochemical industry - petrochemical industry intake	Entrées en transformation - raffineries et industrie pétrochimique - entrées en industrie pétrochimique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Eingang in die petrochemische industrie	Y			
TI_RPI_PII_E	Transformation input - refineries and petrochemical industry - petrochemical industry intake - energy use	Entrées en transformation - raffineries et industrie pétrochimique - entrées en industrie pétrochimique - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Eingang in die petrochemische industrie - energetischer Verbrauch	Y			
TI_RPI_PII_NE	Transformation input - refineries and petrochemical industry - petrochemical industry intake - non-energy use	Entrées en transformation - raffineries et industrie pétrochimique - entrées en industrie pétrochimique - usage non-énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - Eingang in die petrochemische industrie - nichtenergetischer Verbrauch	Y			
TI_RPI_OTH_E	Transformation input - refineries and petrochemical industry - other - energy use	Entrées en transformation - raffineries et industrie pétrochimique - autres - usage énergétique	Umwandlungseinsatz - Raffinerien und petrochemische Industrie - sonstige - energetischer Verbrauch	Y			
TI_PF	Transformation input - patent fuel plants	Entrées en transformation - fabriques d'agglomérés	Umwandlungseinsatz - Steinkohlenbrikettfabriken	Y			
