CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
MIO_NAT	Million units of national currency (former currencies of the euro area countries)	Millions d'unités de monnaie nationale (anciennes monnaies des pays de la zone euro)	Millionen Einheiten Landeswährung (frühere Währungen der Länder des Euroraums)	Y			
PPP_EUR	Purchasing power parities (PPP) in euro	Parités de pouvoir d'achat (PPA) en euros	Kaufkraftparitäten (KKP) in Euro	M			
PPS	Purchasing power standard (PPS)	Standard de pouvoir d'achat (SPA)	Kaufkraftstandard (KKS)	Y			
PPS_EU27_2020	Purchasing power standard (PPS, EU27 from 2020)	Standard de pouvoir d'achat (SPA, UE27 à partir de 2020)	Kaufkraftstandard (KKS, EU27 ab 2020)	Y			
MIO_PPS	Million purchasing power standards (PPS)	Millions de standards de pouvoir d'achat (SPA)	Millionen Kaufkraftstandards (KKS)	Y			
MIO_PPS_EU27_2020	Million purchasing power standards (PPS, EU27 from 2020)	Millions de standards de pouvoir d'achat (SPA, UE27 à partir de 2020)	Millionen Kaufkraftstandards (KKS, EU27 ab 2020)	M			
MIO_PPS_KP05	Million purchasing power standards (PPS) at 2005 prices	Millions de standards de pouvoir d'achat (SPA) aux prix de 2005	Millionen Kaufkraftstandards (KKS) zu Preisen von 2005	M			
MIO_PPS_KP00	Million purchasing power standards (PPS) at 2000 prices	Millions de standards de pouvoir d'achat (SPA) aux prix de 2000	Millionen Kaufkraftstandards (KKS) zu Preisen von 2000	M			
PPS_BGDP	Purchasing power standard (PPS) per billion GDP	Standard de pouvoir d'achat (SPA) par milliard du PIB	Kaufkraftstandards (KKS) pro Milliarde BIP	M			
PPS_KG	Purchasing power standard (PPS) per kilogram	Standard de pouvoir d'achat (SPA) par kilogramme	Kaufkraftstandards (KKS) pro Kilogramm	M			
PPS_KGOE	Purchasing power standard (PPS) per kilogram of oil equivalent	Standard de pouvoir d'achat (SPA) par kilogramme d'equivalent pétrole	Kaufkraftstandards (KKS) pro Kilogramm Rohöleinheit	M			
MPPS_KM2	Million purchasing power standards (PPS) per square kilometre	Millions de standards de pouvoir d'achat (SPA) par kilomètre carré	Millionen Kaufkraftstandards (KKS) pro Quadratkilometer	M			
PPS_M3	Purchasing power standard (PPS) per cubic metre	Standard de pouvoir d'achat (SPA) par mètre cube	Kaufkraftstandards (KKS) pro Kubikmeter	M			
PPS_HAB	Purchasing power standard (PPS) per inhabitant	Standard de pouvoir d'achat (SPA) par habitant	Kaufkraftstandards (KKS) pro Einwohner	M			
PPS_EU27_2020_HAB	Purchasing power standard (PPS, EU27 from 2020), per inhabitant	Standard de pouvoir d'achat (SPA, UE27 à partir de 2020) par habitant	Kaufkraftstandards (KKS, EU27 ab 2020) pro Einwohner	M			
PPS_HAB_KP05	Purchasing power standard (PPS) per inhabitant at constant 2005 prices	Standard de pouvoir d'achat (SPA) par habitant aux prix constants de 2005	Kaufkraftstandards (KKS) pro Einwohner zu konstanten Preisen von 2005	M			
PPS_HAB_KP00	Purchasing power standard (PPS) per inhabitant at constant 2000 prices	Standard de pouvoir d'achat (SPA) par habitant aux prix constants de 2000	Kaufkraftstandards (KKS) pro Einwohner zu konstanten Preisen von 2000	M			
PPS_HAB_EU	Purchasing power standard (PPS) per inhabitant in percentage of the EU average	Standard de pouvoir d'achat (SPA) par habitant en pourcentage de la moyenne de l'UE	Kaufkraftstandards (KKS) pro Einwohner in Prozent des EU-Durchschnitts	M			
PPS_HAB_EU27_2020	Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average	Standard de pouvoir d'achat (SPA, UE27 à partir de 2020) par habitant en pourcentage de la moyenne de l'UE27 (à partir de 2020)	Kaufkraftstandards (KKS, EU27 ab 2020) pro Einwohner in Prozent des EU27 (ab 2020)-Durchschnitts	M			
PPS_AE	Purchasing power standard (PPS) per adult equivalent	Standard de pouvoir d'achat (SPA) par équivalent adulte	Kaufkraftstandards (KKS) pro Erwachsenenäquivalent	M			
PPS_HH	Purchasing power standard (PPS) per household	Standard de pouvoir d'achat (SPA) par ménage	Kaufkraftstandards (KKS) pro Haushalt	M			
PPCS_HAB	Purchasing power standard based on final consumption per inhabitant	Standards de pouvoir d'achat basés sur la consommation finale par habitant	Kaufkraftstandards (konsumbasiert) pro Einwohner	M			
PPCS_HAB_EU	Purchasing power consumption standards per inhabitant in percentage of the EU average	Standards de pouvoir d'achat de consommation par habitant en pourcentage de la moyenne de l'UE	Kaufkraftkonsumstandards pro Einwohner in Prozent des EU-Durchschnitts	M			
GDP_HAB	GDP per capita	PIB par personne	BIP pro Kopf	M			
GDP_BEUR	Nominal GDP in billion euro	PIB nominal en milliards d'euros	Nominales BIP in Milliarden Euro	M			
OZ	Ounce	Once	Unze	Y			
MCG_M3	Micrograms per cubic metre	Microgrammes par mètre cube	Mikrogramm pro Kubikmeter	M			
MG_L	Milligrams per litre	Milligrammes par litre	Milligramm pro Liter	M			
G	Gram	Gramme	Gramm	Y			
G_HAB	Grams per capita	Grammes par personne	Gramm pro Kopf	M			
G_EUR_CP	Grams per euro, current prices	Grammes par euro, prix courants	Gramm pro Euro, jeweilige Preise	M			
G_EUR_CLV10	Grams per euro, chain linked volumes (2010)	Grammes par euro, volumes chaînés (2010)	Gramm pro Euro, verkettete Volumen (2010)	M			
G_KM	Grams per kilometre	Grammes par kilomètre	Gramm pro Personenkilometer	M			
G_PKM	Grams per passenger-kilometre	Grammes par passager-kilomètre	Gramm pro Personenkilometer	M			
G_TKM	Grams per tonne-kilometre	Grammes par tonne-kilomètre	Gramm pro Tonnenkilometer	M			
KG	Kilogram	Kilogramme	Kilogramm	Y			
KG_L	Kilograms per liter	Kilogrammes par litre	Kilogramm pro Liter	M			
KG_HD	Kilograms per head	Kilogrammes par tête (animal)	Kilogramm pro Kopf (Tier)	M			
KG_HAB	Kilograms per capita	Kilogrammes par personne	Kilogramm pro Kopf	M			
KG_EUR_CP	Kilograms per euro, current prices	Kilogrammes par euro, prix courants	Kilogramm pro Euro, jeweilige Preise	M			
KG_EUR_CLV10	Kilograms per euro, chain linked volumes (2010)	Kilogrammes par euro, volumes chaînés (2010)	Kilogramm pro Euro, verkettete Volumen (2010)	M			
KG_TEUR_CLV10	Kilograms per thousand euro, chain linked volumes (2010)	Kilogrammes par millier d'euros, volumes chaînés (2010)	Kilogramm pro Tausend Euro, verkettete Volumen (2010)	M			
KG_HA	Kilograms per hectare	Kilogrammes par hectare	Kilogramm pro Hektar	M			
KG_T	Kilograms per tonne	Kilogrammes par tonne	Kilogramm pro Tonne	M			
KGOE	Kilogram of oil equivalent (KGOE)	Kilogramme d'équivalent pétrole (KGEP)	Kilogramm Rohöleinheit (KGRÖE)	Y			
KGOE_HAB	Kilograms of oil equivalent (KGOE) per capita	Kilogrammes d'équivalent pétrole (KGEP) par personne	Kilogramm Rohöleinheiten (KGRÖE) pro Kopf	M			
KGOE_TEUR	Kilograms of oil equivalent (KGOE) per thousand euro	Kilogrammes d'equivalent pétrole (KGEP) par millier d'euros	Kilogramm Rohöleinheiten (KGRÖE) pro Tausend Euro	M			
KGOE_TEUR_PPS	Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS)	Kilogrammes d'equivalent pétrole (KGEP) par millier d'euros en standards de pouvoir d'achat (SPA)	Kilogramm Rohöleinheiten (KGRÖE) pro Tausend Euro in Kaufkraftstandards (KKS)	M			
KGOE_M2	Kilograms of oil equivalent (KGOE) per square meter	Kilogramme d'équivalent pétrole (KGEP) par mètre carré	Kilogramm Rohöleinheit (KGRÖE) pro Quadratmeter	M			
T	Tonne	Tonne	Tonne	Y			
THS_T	Thousand tonnes	Mille tonnes	Tausend Tonnen	Y			
MIO_T	Million tonnes	Millions de tonnes	Millionen Tonnen	Y			
TCO2E	Tonnes of CO2 equivalent	Tonnes équivalent CO2	Tonnen CO2-Äquivalent	M			
KTCO2E	Thousand tonnes of CO2 equivalent	Milliers de tonnes équivalent CO2	Tausend Tonnen CO2-Äquivalent	M	kilotonne is 1000 tonnes		
MTCO2E	Million tonnes of CO2 equivalent	Millions de tonnes équivalent CO2	Millionen Tonnen CO2-Äquivalent	M			
TCO2E_HAB	Tonnes of CO2 equivalent per capita	Tonnes équivalent CO2 par personne	Tonnen CO2-Äquivalent pro Kopf	M			
TOE	Tonnes of oil equivalent (TOE)	Tonnes d'équivalent pétrole (TEP)	Tonnen Rohöleinheiten (TRÖE)	Y			
KTOE	Thousand tonnes of oil equivalent	Milliers de tonnes équivalent pétrole	Tausend Tonnen Rohöleinheiten	Y			
MTOE	Million tonnes of oil equivalent	Millions de tonnes équivalent pétrole	Millionen Tonnen Rohöleinheiten	Y			
TOE_HAB	Tonnes of oil equivalent (TOE) per capita	Tonnes d'équivalent pétrole (TEP) par personne	Tonnen Rohöleinheiten (TRÖE) pro Kopf	M			
TOE_MEUR	Tonnes of oil equivalent (TOE) per million euro	Tonnes d'equivalent pétrole (TEP) par million d'euros	Tonnen Rohöleinheiten (TRÖE) pro Million Euro	M			
TSWU	Tonnes of separative work units	Tonnes d'unités de travail de separation	Tonnen Trennarbeitseinheiten	M			
THM	Tonnes of heavy metal	Tonnes de métal lourd	Tonnen Schwermetall	M			
TPW	Tonnes product weight	Tonnes du poids produit	Tonnen Produktgewicht	Y			
TLW	Tonnes live weight	Tonnes poids vif	Tonnen Lebendgewicht	Y			
T_HA	Tonnes per hectare	Tonnes par hectare	Tonnen pro Hektar	M			
T_HAB	Tonnes per capita	Tonnes par personne	Tonnen pro Kopf	M			
T_KM2	Tonnes per square kilometre	Tonnes par kilomètre carré	Tonnen pro Quadratkilometer	M			
TD	Tonnes per day	Tonnes par jour	Tonnen pro Tag	M			
THS_TD	Thousand tonnes per day	Mille tonnes par jour	Tausend Tonnen pro Tag	M			
THS_TY	Thousand tonnes per year	Mille tonnes par an	Tausend Tonnen pro Jahr	M			
O2_TD	Tonnes of O2 per day	Tonnes O2 par jour	Tonnen O2 pro Tag	M			
GT	Gross tonnage (GT)	Jauge brute (GT)	Bruttoraumzahl (BRZ)	Y			
THS_GT	Gross tonnage (GT) in thousand	Jauge brute (GT) en milliers	Bruttoraumzahl (BRZ) in Tausend	Y			
M	Metre	Mètre	Meter	Y			
M_KM2	Metres per square kilometre	Mètres par kilomètre carré	Meter pro Quadratkilometer	M			
KM	Kilometre	Kilomètre	Kilometer	Y			
MIO_GTKM	Million gross tonne-kilometres	Millions de tonnes-kilomètres brutes	Millionen Bruttoleistungstonnenkilometer	Y			
TKM	Tonne-kilometre (TKM)	Tonne-kilomètre (TKM)	Tonnenkilometer (TKM)	Y			
THS_TKM	Thousand tonne-kilometre (TKM)	Mille tonne-kilomètre (TKM)	Tausend Tonnenkilometer (TKM)	Y			
MIO_TKM	Million tonne-kilometre (TKM)	Millions de tonne-kilomètre (TKM)	Millionen Tonnenkilometer (TKM)	Y			
THS_TRKM	Thousand train-kilometres	Mille train-kilomètres	Tausend Zugkilometer	Y			
MIO_PKM	Millions of passenger-kilometres	Millions de passagers-kilomètres	Millionen Personenkilometer	Y			
MIO_SKM	Million seat-kilometre	Millions places-kilomètres	Millionen Sitzkilometer	Y			
VKM	Vehicle-kilometre (VKM)	Véhicule-kilomètre (VKM)	Fahrzeugkilometer (VKM)	Y			
THS_VKM	Thousand vehicle-kilometres (VKM)	Milliers de véhicules-kilomètres (VKM)	Tausend Fahrzeugkilometer (VKM)	Y			
MIO_VKM	Million vehicle-kilometres (VKM)	Millions de véhicules-kilomètres (VKM)	Millionen Fahrzeugkilometer (VKM)	Y			
THS_VESKM	Thousand vessel-kilometres	Mille navire-kilomètres	Tausend Schiffskilometer	Y			
KM_THAB	Kilometres per thousand inhabitants	Kilomètres par millier d'habitants	Kilometer pro tausend Einwohner	M			
KM_TKM2	Kilometres per thousand square kilometres	Kilomètres par millier de kilomètres carrés	Kilometer pro tausend Quadratkilometer	M			
M2	Square metre	Mètre carré	Quadratmeter	Y			
THS_M2	Thousand square metres	Mille mètres carrés	Tausend Quadratmeter	Y			
MIO_M2	Million square metres	Millions de mètres carrés	Millionen Quadratmeter	Y			
M2_HAB	Square metres per capita	Mètres carré par personne	Quadratmeter pro Kopf	M			
HA	Hectare	Hectare	Hektar	Y			
THS_HA	Thousand hectares	Mille hectares	Tausend Hektar	Y			
KM2	Square kilometre	Kilomètre carré	Quadratkilometer	Y			
KM2_HAB	Square kilometres per capita	Kilomètres carré par personne	Quadratkilometer pro Kopf	M			
M3	Cubic metre	Mètre cube	Kubikmeter	Y			
THS_M3	Thousand cubic metres	Mille mètres cubes	Tausend Kubikmeter	Y			
MIO_M3	Million cubic metres	Millions de mètres cubes	Millionen Kubikmeter	Y			
MIO_M3D	Million cubic metres per day	Millions de mètres cubes par jour	Millionen Kubikmeter pro Tag	M			
BN_M3Y	Billion cubic metres per year	Milliards de mètres cubes par an	Milliarden Kubikmeter pro Jahr	M			
M3_HAB	Cubic metres per inhabitant	Mètres cubes par habitant	Kubikmeter pro Einwohner	M			
L	Litre	Litre	Liter	Y			
THS_L	Thousand litres	Mille litres	Tausend Liter	Y			
HL	Hectolitre	Hectolitre	Hektoliter	Y			
THS_HL	Thousand hectolitres	Mille hectolitres	Tausend Hektoliter	Y			
MN	Minute	Minute	Minute	Y			
THS_MN	Thousand minutes	Mille minutes	Tausend Minuten	Y			
HR	Hour	Heure	Stunde	Y			
THS_HR	Thousand hours	Mille heures	Tausend Stunden	Y			
MIO_HR	Million hours	Millions d'heures	Millionen Stunden	Y			
HW	Hours worked	Heures travaillées	Arbeitsstunden	Y			
THS_HW	Thousand hours worked	Milliers d'heures travaillées	Tausend Arbeitsstunden	Y			
HR_SAL	Hours per employee	Heures par employé	Stunden pro Arbeitnehmer	Y			
DAY	Day	Jour	Tag	Y			
MTH	Month	Mois	Monat	Y			
YR	Year	Année	Jahr	Y			
TIME_SP	Time spent (hh:mm)	Temps passé (hh:mm)	Vergehende Zeit (hh:mm)	M			
PTP_TIME	Participation time (hh:mm)	Temps de participation (hh:mm)	Teilnahmezeit (hh:mm)	M			
KW	Kilowatt	Kilowatt	Kilowatt	Y			
THS_KW	Thousand kilowatts	Mille kilowatts	Tausend Kilowatt	Y			
MW	Megawatt	Mégawatt	Megawatt	Y			
GW	Gigawatt	Gigawatt	Gigawatt	Y			
KWH	Kilowatt-hour	Kilowattheure	Kilowattstunde	Y			
KWH_M2	Kilowatt-hour per square meter	Kilowattheure par mètre carré	Kilowattstunde pro Quadratmeter	M			
MWH	Megawatt-hour	Mégawattheure	Megawattstunde	M			
GWH	Gigawatt-hour	Gigawattheure	Gigawattstunde	Y			
GWD_THM	Gigawatt-days per tonne of heavy metal	Gigawatt-jour par tonne de métal lourd	Gigawatt-Tage pro Tonne Schwermetall	M			
KCAL	Kilocalorie	Kilocalorie	Kilokalorie	Y			
KJ	Kilojoule	Kilojoule	Kilojoule	Y			
KJ_M3	Kilojoule per cubic metre	Kilojoules par mètre cube	Kilojoule pro Kubikmeter	M			
KJ_M3_GCV	Kilojoule per cubic metre (gross calorific value - GCV)	Kilojoules par mètre cube (pouvoir calorifique supérieur - PCS)	Kilojoule pro Kubikmeter (oberer Heizwert - OHW)	M			
KJ_M3_NCV	Kilojoule per cubic metre (net calorific value - NCV)	Kilojoules par mètre cube (pouvoir calorifique inférieur - PCI)	Kilojoule pro Kubikmeter (unterer Heizwert - UHW)	M			
MJ	Megajoule	Mégajoule	Megajoule	Y			
MJ_HAB	Megajoule per capita	Mégajoules par personne	Megajoule pro Kopf	M			
MJ_T_GCV	Megajoule per tonne (gross calorific value - GCV)	Mégajoules par tonne (pouvoir calorifique supérieur - PCS)	Megajoule pro Tonne (oberer Heizwert - OHW)	M			
MJ_T_NCV	Megajoule per tonne (net calorific value - NCV)	Mégajoules par tonne (pouvoir calorifique inférieur - PCI)	Megajoule pro Tonne (unterer Heizwert - UHW)	M			
MJ_M2	Megajoule per square meter	Mégajoule par mètre carré	Megajoule pro Quadratmeter	M			
GJ	Gigajoule	Gigajoule	Gigajoule	Y			
GJ_GCV	Gigajoule (gross calorific value - GCV)	Gigajoule (pouvoir calorifique supérieur - PCS)	Gigajoule (oberer Heizwert - OHW)	M			
GJ_HAB	Gigajoule per capita	Gigajoules par personne	Gigajoule pro Kopf	M			
TJ	Terajoule	Térajoule	Terajoule	Y			
TJ_GCV	Terajoule (gross calorific value - GCV)	Térajoule (pouvoir calorifique supérieur - PCS)	Terajoule (oberer Heizwert - OHW)	M			
TJ_NCV	Terajoule (net calorific value - NCV)	Térajoule (pouvoir calorifique inférieur - PCI)	Terajoule (unterer Heizwert - UHW)	M			
TJ_HAB	Terajoule per capita	Térajoules par personne	Terajoule pro Kopf	M			
TJ_TM3_NCV	Terajoule per thousand cubic metres (net calorific value - NCV)	Térajoule par millier de mètres cubes (pouvoir calorifique inférieur - PCI)	Terajoule pro tausend Kubikmeter (unterer Heizwert - UHW)	M			
DEGC	Degree Celsius	Degré Celsius	Grad Celsius	Y			
PH	pH value	Valeur du pH	pH-Wert	Y			
NMOL_L	Nanomoles per litre	Nanomoles par litre	Nanomol pro Liter	M			
INX	Index	Indice	Index	Y			
INX_Q	Quarterly index	Indice trimestriel	Vierteljährlicher Index	M			
INX_A_AVG	Annual average index	Indice moyen annuel	Jahresdurchschnittsindex	M			
I2021	Index, 2021=100	Indice, 2021=100	Index, 2021=100	O			
I2015	Index, 2015=100	Indice, 2015=100	Index, 2015=100	O			
I2010	Index, 2010=100	Indice, 2010=100	Index, 2010=100	O			
I25	Index, 2025=100	Indice, 2025=100	Index, 2025=100	Y			
I21	Index, 2021=100	Indice, 2021=100	Index, 2021=100	Y			
I20	Index, 2020=100	Indice, 2020=100	Index, 2020=100	Y			
I18	Index, 2018=100	Indice, 2018=100	Index, 2018=100	Y			
I16	Index, 2016=100	Indice, 2016=100	Index, 2016=100	Y			
I15	Index, 2015=100	Indice, 2015=100	Index, 2015=100	Y			
I13	Index, 2013=100	Indice, 2013=100	Index, 2013=100	Y			
I12	Index, 2012=100	Indice, 2012=100	Index, 2012=100	Y			
I10	Index, 2010=100	Indice, 2010=100	Index, 2010=100	Y			
I09	Index, 2009=100	Indice, 2009=100	Index, 2009=100	Y			
I08	Index, 2008=100	Indice, 2008=100	Index, 2008=100	Y			
I06	Index, 2006=100	Indice, 2006=100	Index, 2006=100	Y			
I05	Index, 2005=100	Indice, 2005=100	Index, 2005=100	Y			
I01	Index, 2001=100	Indice, 2001=100	Index, 2001=100	Y			
I00	Index, 2000=100	Indice, 2000=100	Index, 2000=100	Y			
I99	Index, 1999=100	Indice, 1999=100	Index, 1999=100	Y			
I96	Index, 1996=100	Indice, 1996=100	Index, 1996=100	Y			
I95	Index, 1995=100	Indice, 1995=100	Index, 1995=100	Y			
I91	Index, 1991=100	Indice, 1991=100	Index, 1991=100	Y			
I90	Index, 1990=100	Indice, 1990=100	Index, 1990=100	Y			
I10_Q	Quarterly index, 2010=100	Indice trimestriel, 2010=100	Vierteljährlicher Index, 2010=100	M			
I15_Q	Quarterly index, 2015=100	Indice trimestriel, 2015=100	Vierteljährlicher Index, 2015=100	M			
I10_A_AVG	Annual average index, 2010=100	Indice moyen annuel, 2010=100	Jahresdurchschnittsindex, 2010=100	M			
I15_A_AVG	Annual average index, 2015=100	Indice moyen annuel, 2015=100	Jahresdurchschnittsindex, 2015=100	M			
I_EU	Index, EU=100	Indice, EU=100	Index, EU=100	Y			
I_LY	Index, latest year = 100	Indice, dernière année = 100	Index, letztes Jahr = 100	M			
I_N_1	Index, n-1 = 100	Indice, n-1 = 100	Index, n-1 = 100	M			
I15-17_AVG	Index, 2015-2017 average =100	Indice, 2015-2017 moyenne =100	Index, 2015-2017 Durchschnitt =100	M			
I11-13_AVG	Index, 2011-2013 average =100	Indice, 2011-2013 moyenne =100	Index, 2011-2013 Durchschnitt =100	M			
I15_PER	Index, 2015=100 (based on persons)	Indice, 2015=100 (basé sur les personnes)	Index, 2015=100 (auf Basis von Personen)	M			
I10_PER	Index, 2010=100 (based on persons)	Indice, 2010=100 (basé sur les personnes)	Index, 2010=100 (auf Basis von Personen)	M			
I15_HW	Index, 2015=100 (based on hours worked)	Indice, 2015=100 (basé sur les heures travaillées)	Index, 2015=100 (auf Basis von geleisteten Arbeitsstunden)	M			
I10_HW	Index, 2010=100 (based on hours worked)	Indice, 2010=100 (basé sur les heures travaillées)	Index, 2010=100 (auf Basis von geleisteten Arbeitsstunden)	M			
